date,symbol,open,high,low,close,adj_close,volume
2025-04-16,NDXCOMP,16499.693000,16600.365000,16066.462000,16307.160000,16307.160000,0
2025-04-17,NDXCOMP,16399.973000,16408.508000,16181.174000,16286.448000,16286.448000,0
2025-04-22,NDXCOMP,16079.940000,16410.556000,16038.730000,16300.418000,16300.418000,0
2025-04-23,NDXCOMP,16880.290000,17029.864000,16642.664000,16708.050000,16708.050000,0
2025-04-24,NDXCOMP,16754.756000,17174.349000,16744.966000,17166.043000,17166.043000,0
2025-04-25,NDXCOMP,17182.112000,17404.489000,17110.716000,17382.939000,17382.939000,0
2025-04-28,NDXCOMP,17390.929000,17467.348000,17128.707000,17366.133000,17366.133000,0
2025-04-29,NDXCOMP,17270.757000,17500.415000,17256.199000,17461.318000,17461.318000,0
2025-04-30,NDXCOMP,17099.977000,17483.824000,16959.532000,17446.342000,17446.342000,0
2025-05-01,NDXCOMP,17793.136000,17922.828000,17688.105000,17710.739000,17710.739000,0
2025-05-02,NDXCOMP,17868.761000,18048.831000,17812.046000,17977.728000,17977.728000,0
2025-05-05,NDXCOMP,17817.014000,17965.640000,17792.084000,17844.241000,17844.241000,0
2025-05-06,NDXCOMP,17623.209000,17830.352000,17592.880000,17689.659000,17689.659000,0
2025-05-07,NDXCOMP,17706.827000,17820.295000,17503.014000,17738.162000,17738.162000,0
2025-05-08,NDXCOMP,17920.154000,18096.001000,17776.004000,17928.139000,17928.139000,0
2025-05-09,NDXCOMP,18022.549000,18068.899000,17853.836000,17928.916000,17928.916000,0
2025-05-12,NDXCOMP,18674.555000,18710.218000,18472.709000,18708.344000,18708.344000,0
2025-05-13,NDXCOMP,18761.234000,19065.956000,18745.503000,19010.085000,19010.085000,0
2025-05-14,NDXCOMP,19074.722000,19174.550000,19023.608000,19146.809000,19146.809000,0
2025-05-15,NDXCOMP,19031.243000,19207.224000,18967.779000,19112.319000,19112.319000,0
2025-05-16,NDXCOMP,19151.541000,19213.420000,19038.476000,19211.102000,19211.102000,0
2025-05-19,NDXCOMP,18937.417000,19227.221000,18937.417000,19215.463000,19215.463000,0
2025-05-20,NDXCOMP,19132.057000,19186.685000,19015.625000,19142.714000,19142.714000,0
2025-05-21,NDXCOMP,19002.942000,19241.414000,18799.204000,18872.643000,18872.643000,0
