# Presidentielle 2017, 1er tour, PARTS (% exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur, fichier 'Presidentielle_2017_Resultats_Tour_1.xls', feuille 'Circo. Leg. Tour 1'
#   (resultats provisoires ~9h30 le 24/04/2017 ; agregat national ~ officiel a ~0.25 pt pres ; 566 circos).
# circo_id normalise au format AA-CC (departement zfill2, circonscription zfill2) pour jointure avec 2022.
# Partis EXPLICITES : LFI=Melenchon, PS=Hamon, LR=Fillon, RN=Le Pen, ENS=Macron, DLF=Dupont-Aignan,
#   RES=Lassalle, NPA=Poutou, LO=Arthaud, UPR=Asselineau, SP=Cheminade. Lire avec comment='#'.
circo_id,departement,exprimes,ENS,RN,LR,LFI,PS,DLF,RES,NPA,LO,UPR,SP
92-05,92,57589,31.26,7.35,30.51,18.68,7.01,2.36,0.54,0.66,0.31,1.16,0.18
92-06,92,62820,28.09,6.47,47.01,10.14,4.27,2.03,0.48,0.46,0.2,0.74,0.13
92-07,92,71569,33.18,7.25,37.11,11.81,5.47,2.8,0.66,0.46,0.25,0.83,0.19
92-08,92,57164,33.98,6.71,32.88,14.33,6.84,2.66,0.66,0.56,0.27,0.97,0.14
92-09,92,53924,32.67,4.88,44.04,9.91,4.82,1.9,0.47,0.34,0.13,0.71,0.12
92-10,92,64121,36.32,6.64,25.74,17.34,8.75,2.61,0.58,0.57,0.25,1.02,0.17
92-11,92,55214,31.26,8.66,15.89,27.93,10.11,2.72,0.66,0.98,0.49,1.13,0.16
92-12,92,74589,32.56,9.53,24.04,18.98,8.14,3.65,0.69,0.74,0.41,1.06,0.2
92-13,92,72492,34.77,7.16,26.77,17.7,7.82,3.11,0.66,0.56,0.28,0.96,0.2
93-01,93,41810,25.21,9.72,10.35,38.41,9.79,2.2,0.5,1.2,0.66,1.74,0.22
93-02,93,34767,22.06,11.3,7.71,43.16,9.15,1.86,0.49,1.44,0.75,1.84,0.23
93-03,93,55656,28.51,14.14,16.36,25.29,7.56,4.42,0.69,1.01,0.51,1.32,0.19
93-04,93,41093,20.66,15.11,9.38,40.44,7.6,2.55,0.52,1.16,0.63,1.73,0.21
93-05,93,42677,22.37,16.42,11.15,36.24,6.43,3.03,0.57,1.17,0.68,1.74,0.2
93-06,93,36347,24.08,10.47,10.2,39.12,10.25,1.88,0.49,0.99,0.92,1.4,0.21
93-07,93,55072,24.75,8.81,8.84,40.12,11.67,1.83,0.54,1.41,0.54,1.31,0.17
93-08,93,45333,25.52,15.83,19.19,24.3,7.17,4.36,0.72,0.91,0.46,1.3,0.25
93-09,93,50707,24.54,11.25,13.03,34.35,10.21,2.67,0.63,1.08,0.65,1.39,0.21
93-10,93,47869,22.93,14.46,14.68,32.0,7.79,3.74,0.59,1.08,0.53,2.02,0.17
93-11,93,43298,22.82,16.28,10.78,35.9,6.4,3.28,0.58,1.15,0.58,2.02,0.21
93-12,93,46248,23.06,19.18,18.85,24.22,6.59,4.29,0.61,0.85,0.43,1.76,0.17
94-01,94,67653,29.46,10.0,27.61,18.75,6.78,4.35,0.68,0.74,0.33,1.12,0.18
94-02,94,47728,25.19,12.07,13.9,32.15,8.35,4.03,0.6,1.06,0.8,1.64,0.2
94-03,94,54761,23.29,16.86,16.56,25.41,6.46,7.89,0.64,0.92,0.43,1.39,0.16
94-04,94,57555,27.78,14.84,22.47,19.96,6.04,5.68,0.68,0.82,0.38,1.18,0.16
94-05,94,68054,29.89,10.73,24.63,21.2,6.68,3.92,0.7,0.65,0.34,1.07,0.19
94-06,94,65677,33.52,7.08,25.52,20.0,8.46,2.84,0.6,0.68,0.3,0.81,0.18
94-07,94,49803,29.67,12.14,17.96,24.08,7.94,4.78,0.65,0.94,0.49,1.17,0.16
94-08,94,61705,30.31,10.63,25.77,18.59,7.55,4.18,0.7,0.66,0.42,1.02,0.17
94-09,94,39344,24.65,12.98,13.73,31.3,9.79,3.57,0.64,1.04,0.66,1.45,0.2
94-10,94,49022,25.8,10.31,11.57,36.01,9.31,2.96,0.62,1.21,0.54,1.48,0.18
94-11,94,46485,28.66,10.44,13.03,31.59,9.7,3.11,0.63,1.03,0.51,1.16,0.14
95-01,95,64695,23.18,22.16,19.11,20.6,5.88,5.41,0.85,1.0,0.51,1.13,0.17
95-02,95,59788,25.23,18.81,19.05,21.18,6.59,5.5,0.8,0.78,0.52,1.35,0.19
95-03,95,71023,26.52,17.91,19.02,21.18,6.49,5.37,0.77,0.86,0.38,1.32,0.18
95-04,95,58119,28.16,14.91,20.61,20.61,6.98,5.19,0.78,0.84,0.54,1.19,0.2
95-05,95,49262,23.97,15.09,12.05,33.52,7.9,3.25,0.64,1.01,0.72,1.68,0.17
95-06,95,57439,28.23,13.33,23.1,21.41,6.77,3.79,0.75,0.79,0.4,1.29,0.14
95-07,95,52596,25.06,15.27,24.42,21.61,6.28,4.06,0.67,0.79,0.44,1.24,0.17
95-08,95,36330,21.9,14.84,15.41,33.25,7.68,2.49,0.5,1.13,0.52,2.07,0.22
95-09,95,50259,21.58,22.66,15.12,25.45,6.43,4.53,0.73,1.07,0.58,1.67,0.16
95-10,95,49648,27.61,15.14,13.62,27.34,8.19,4.27,0.61,1.07,0.49,1.46,0.18
ZA-01,ZA,25625,32.59,13.17,12.17,23.91,9.87,1.66,0.66,2.33,2.1,1.11,0.43
ZA-02,ZA,31087,29.3,15.04,15.39,24.53,8.43,1.88,0.47,1.9,1.6,1.24,0.21
ZA-03,ZA,31788,31.69,12.78,13.93,24.64,9.62,1.88,0.59,1.93,1.42,1.25,0.26
ZA-04,ZA,23993,26.91,12.87,16.69,23.15,12.41,1.8,0.64,2.12,2.06,1.05,0.29
ZB-01,ZB,28952,24.54,11.65,17.58,26.96,9.25,2.17,0.74,3.12,2.3,1.29,0.4
ZB-02,ZB,29728,27.07,11.73,18.12,25.09,8.79,2.01,0.81,2.81,2.12,1.12,0.35
ZB-03,ZB,23474,25.24,9.44,15.18,27.49,13.24,1.9,0.82,3.02,1.96,1.36,0.35
ZB-04,ZB,27326,25.17,10.62,16.11,30.16,8.32,2.44,0.82,2.86,1.84,1.4,0.26
ZC-01,ZC,17218,18.31,24.11,15.01,24.54,5.69,1.75,0.96,5.58,1.85,1.88,0.33
ZC-02,ZC,9616,19.54,24.63,14.04,25.04,5.71,1.76,1.11,4.63,1.5,1.62,0.43
ZD-01,ZD,47150,23.51,20.92,19.33,21.32,7.46,2.79,0.5,1.08,1.08,1.8,0.21
ZD-02,ZD,47701,18.26,19.86,16.53,31.52,5.54,2.71,0.59,1.34,1.58,1.78,0.29
ZD-03,ZD,51490,15.89,28.96,15.18,23.91,6.44,3.54,0.62,1.42,1.77,1.98,0.29
ZD-04,ZD,62470,14.65,21.92,19.56,22.49,13.57,2.78,0.52,1.27,1.36,1.63,0.26
ZD-05,ZD,41780,18.74,27.48,16.2,22.68,6.91,2.59,0.45,1.21,1.94,1.56,0.24
ZD-06,ZD,40510,20.07,26.78,15.84,23.43,6.1,2.84,0.58,1.23,1.43,1.41,0.29
ZD-07,ZD,59378,22.23,20.12,17.33,26.23,6.0,2.91,0.6,1.18,1.32,1.8,0.29
ZM-01,ZM,15378,24.74,26.38,25.44,9.43,5.62,2.93,0.67,1.89,0.96,1.42,0.52
ZM-02,ZM,18091,14.36,28.05,38.69,7.51,3.26,3.21,0.48,1.87,1.04,1.07,0.48
ZN-01,ZN,40427,14.33,26.18,34.33,9.9,6.24,3.22,0.87,1.22,0.83,2.66,0.23
ZN-02,ZN,46519,11.39,31.62,28.35,7.95,12.04,2.62,0.74,1.7,1.08,2.2,0.31
ZP-01,ZP,28973,13.75,32.72,36.14,7.64,3.09,2.35,0.64,1.05,0.9,1.46,0.27
ZP-02,ZP,23048,16.68,34.31,32.79,7.38,2.54,2.11,0.46,1.02,0.98,1.45,0.28
ZP-03,ZP,23608,13.98,30.54,36.66,8.62,3.07,2.54,0.67,0.91,0.86,1.9,0.25
ZS-01,ZS,2632,17.97,18.16,9.92,35.45,8.24,3.0,2.05,2.43,1.06,1.37,0.34
ZW-01,ZW,5348,30.48,7.11,28.53,3.59,25.22,1.48,0.54,0.77,1.01,0.93,0.34
ZX-01,ZX,7865,19.99,23.32,32.02,14.66,3.14,2.75,0.86,1.17,0.45,1.42,0.23
