# Presidentielle 2017, 1er tour, PARTS (% exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur, fichier 'Presidentielle_2017_Resultats_Tour_1.xls', feuille 'Circo. Leg. Tour 1'
#   (resultats provisoires ~9h30 le 24/04/2017 ; agregat national ~ officiel a ~0.25 pt pres ; 566 circos).
# circo_id normalise au format AA-CC (departement zfill2, circonscription zfill2) pour jointure avec 2022.
# Partis EXPLICITES : LFI=Melenchon, PS=Hamon, LR=Fillon, RN=Le Pen, ENS=Macron, DLF=Dupont-Aignan,
#   RES=Lassalle, NPA=Poutou, LO=Arthaud, UPR=Asselineau, SP=Cheminade. Lire avec comment='#'.
circo_id,departement,exprimes,ENS,RN,LR,LFI,PS,DLF,RES,NPA,LO,UPR,SP
30-05,30,75622,18.57,26.52,14.4,26.54,5.49,3.72,1.8,1.25,0.59,0.96,0.16
30-06,30,62115,20.04,26.64,19.1,20.95,5.54,4.09,1.21,0.88,0.44,0.93,0.17
31-01,31,63567,28.95,11.18,16.38,26.84,9.67,3.06,1.51,0.99,0.37,0.89,0.17
31-02,31,78503,27.57,14.13,17.24,24.89,8.51,3.73,1.55,0.93,0.42,0.87,0.16
31-03,31,63262,29.19,10.08,25.09,20.85,8.43,3.02,1.36,0.74,0.33,0.74,0.16
31-04,31,51231,26.71,9.15,16.77,30.39,10.95,2.39,1.17,1.0,0.37,0.93,0.18
31-05,31,80938,23.93,22.58,15.49,21.81,6.55,5.08,1.98,1.05,0.5,0.85,0.19
31-06,31,91652,29.0,17.4,14.87,22.4,7.96,4.29,1.7,0.92,0.45,0.82,0.18
31-07,31,80704,23.01,23.37,14.26,22.62,7.54,4.49,2.15,1.05,0.55,0.78,0.18
31-08,31,66707,21.31,23.56,14.58,21.47,7.53,4.06,4.77,1.19,0.56,0.79,0.19
31-09,31,60991,25.79,15.16,14.13,27.58,9.7,3.34,1.61,1.11,0.46,0.92,0.2
31-10,31,81316,28.74,15.73,17.39,21.33,8.3,4.15,2.13,0.93,0.37,0.75,0.18
32-01,32,60177,24.14,18.62,16.8,20.59,8.48,4.33,4.37,1.06,0.57,0.89,0.15
32-02,32,58506,22.65,20.82,19.15,18.29,7.56,4.74,4.15,1.05,0.57,0.85,0.16
33-01,33,73593,31.45,9.67,24.83,19.26,8.0,2.87,1.34,1.2,0.32,0.9,0.16
33-02,33,50569,31.87,6.0,21.0,24.41,11.2,2.04,1.12,1.21,0.23,0.8,0.13
33-03,33,61138,28.37,11.34,12.02,29.59,10.71,3.14,1.68,1.57,0.4,0.98,0.2
33-04,33,69524,24.64,19.84,12.2,25.48,8.31,4.25,1.69,1.8,0.57,1.04,0.2
33-05,33,87495,23.42,24.14,15.01,20.95,6.15,4.84,2.01,2.06,0.53,0.73,0.14
33-06,33,82511,31.06,14.02,16.31,21.5,8.4,4.35,1.53,1.44,0.39,0.83,0.17
33-07,33,60820,31.54,11.77,15.55,23.37,9.31,4.01,1.72,1.37,0.37,0.8,0.17
33-08,33,86274,24.68,18.88,24.6,17.07,5.13,4.76,2.19,1.31,0.41,0.78,0.2
33-09,33,75728,23.92,20.7,14.92,22.73,7.21,4.62,2.66,1.58,0.62,0.83,0.2
33-10,33,63512,22.3,25.21,17.81,18.93,6.07,4.5,2.24,1.55,0.46,0.72,0.2
33-11,33,72182,19.41,30.78,13.26,20.06,5.64,5.27,2.07,1.84,0.7,0.77,0.19
33-12,33,67469,23.22,21.34,16.47,21.94,6.86,4.41,2.69,1.58,0.53,0.77,0.18
34-01,34,65495,22.85,22.14,19.09,23.17,5.77,3.54,1.11,0.76,0.33,1.11,0.14
34-02,34,43412,24.58,10.98,15.89,33.71,9.5,2.04,0.68,0.97,0.35,1.16,0.15
34-03,34,69268,25.12,19.01,20.8,21.31,6.62,3.83,1.1,0.79,0.29,1.0,0.14
34-04,34,90905,20.69,25.16,16.42,23.79,5.73,4.09,1.57,0.97,0.44,1.0,0.12
34-05,34,74975,17.51,29.72,14.59,23.7,5.59,3.97,2.12,1.22,0.55,0.87,0.17
34-06,34,69694,17.01,34.04,18.23,19.13,4.33,3.72,1.51,0.76,0.41,0.72,0.14
34-07,34,79698,17.0,32.1,18.72,20.36,4.44,3.88,1.26,0.9,0.45,0.74,0.14
34-08,34,69180,20.84,26.01,15.84,23.89,5.95,3.83,1.22,0.89,0.38,0.99,0.16
34-09,34,64217,21.54,25.27,18.8,21.72,5.64,3.54,1.19,0.84,0.32,1.02,0.14
35-01,35,71832,33.53,9.99,15.21,22.88,11.62,3.67,0.58,1.02,0.62,0.7,0.18
35-02,35,77508,35.02,9.08,19.23,19.89,10.54,3.34,0.64,0.96,0.54,0.59,0.17
35-03,35,71194,29.76,16.04,17.02,20.12,8.68,4.71,0.82,1.24,0.79,0.65,0.17
35-04,35,74571,26.97,18.94,16.29,20.22,8.0,5.5,0.85,1.48,0.83,0.71,0.2
35-05,35,86103,29.47,15.38,21.52,17.34,6.75,5.77,0.78,1.26,0.9,0.66,0.17
35-06,35,71559,26.81,19.1,20.14,17.15,7.08,5.57,0.95,1.38,0.95,0.68,0.19
35-07,35,78876,27.84,16.17,24.56,16.97,6.87,4.15,0.83,1.09,0.68,0.69,0.13
35-08,35,67692,32.99,7.72,17.18,24.0,12.5,2.82,0.57,0.98,0.45,0.64,0.15
36-01,36,60391,21.63,23.51,19.71,19.57,5.8,5.21,1.24,1.28,0.97,0.85,0.22
36-02,36,70543,20.18,25.22,19.24,18.59,6.07,5.71,1.38,1.4,1.14,0.83,0.24
37-01,37,50843,27.2,11.07,22.04,23.8,9.21,3.46,0.69,0.99,0.56,0.8,0.18
37-02,37,72010,23.64,21.41,20.2,18.59,6.19,6.1,0.84,1.25,0.73,0.84,0.21
37-03,37,78104,24.61,19.65,20.7,18.96,6.34,5.84,0.91,1.18,0.84,0.76,0.21
37-04,37,71461,23.72,20.13,20.28,19.66,6.81,5.39,0.97,1.25,0.93,0.68,0.17
37-05,37,67487,23.91,20.37,23.39,17.17,5.84,5.77,0.85,1.03,0.7,0.77,0.22
38-01,38,65404,32.57,8.93,24.03,20.46,8.82,2.73,0.61,0.64,0.33,0.74,0.14
38-02,38,58316,25.81,19.62,13.72,25.82,7.26,4.04,0.9,1.05,0.56,1.04,0.17
38-03,38,43993,26.66,15.67,12.77,28.48,9.31,3.68,0.64,1.08,0.54,1.02,0.15
38-04,38,70358,25.25,20.32,17.52,21.28,6.88,4.92,1.11,1.05,0.56,0.94,0.18
38-05,38,80744,26.65,19.5,16.1,21.55,7.46,4.99,1.0,1.05,0.51,1.01,0.17
38-06,38,64038,20.86,31.2,17.32,16.14,4.51,6.3,0.94,0.89,0.55,1.11,0.17
38-07,38,71679,20.83,29.51,16.75,17.54,4.84,6.35,1.33,1.09,0.63,0.95,0.19
38-08,38,61008,23.05,26.41,17.97,17.62,5.45,5.88,1.01,0.93,0.52,1.0,0.16
38-09,38,75579,24.98,21.52,17.34,20.04,6.77,5.47,1.16,0.99,0.6,0.92,0.2
38-10,38,71388,21.7,28.28,15.54,19.34,5.45,5.9,0.97,0.88,0.6,1.17,0.18
39-01,39,51469,22.36,23.12,18.47,20.92,5.26,5.59,1.29,1.2,0.75,0.85,0.19
39-02,39,43290,20.89,22.8,20.68,19.21,4.9,6.35,1.56,1.56,0.77,1.06,0.23
39-03,39,54810,20.7,26.16,18.09,20.53,5.04,5.31,1.19,1.25,0.78,0.8,0.16
40-01,40,80143,24.19,19.66,16.83,19.45,8.64,4.97,3.53,1.19,0.56,0.8,0.17
40-02,40,89348,25.67,16.25,18.7,20.97,7.66,4.11,4.16,1.09,0.45,0.79,0.14
40-03,40,78500,23.88,18.72,15.65,19.93,9.92,4.29,5.03,1.21,0.5,0.72,0.14
41-01,41,63944,23.45,21.69,20.52,17.71,7.17,5.81,0.83,1.11,0.71,0.82,0.17
41-02,41,63494,19.64,28.3,21.98,15.4,4.59,6.19,1.02,1.13,0.79,0.72,0.24
41-03,41,66300,19.86,25.38,23.64,15.8,5.22,6.04,1.0,1.16,0.88,0.81,0.21
42-01,42,48392,24.5,20.07,17.12,22.68,7.52,4.42,0.96,1.05,0.55,0.97,0.16
42-02,42,38360,25.12,16.86,18.15,24.15,8.19,3.83,0.78,1.04,0.6,1.1,0.17
42-03,42,62221,23.3,24.67,17.73,18.6,5.71,6.2,1.11,0.99,0.55,0.98,0.16
42-04,42,78351,21.74,27.0,16.42,19.56,5.35,5.85,1.28,1.11,0.66,0.85,0.18
42-05,42,79407,22.98,25.21,19.48,16.87,5.14,6.08,1.48,1.08,0.73,0.78,0.17
42-06,42,84636,22.93,25.42,20.36,15.19,4.83,6.86,1.66,1.02,0.71,0.82,0.18
43-01,43,77452,23.22,24.94,17.78,17.55,5.19,6.31,1.91,1.36,0.76,0.76,0.21
43-02,43,62122,23.88,20.71,19.61,19.04,5.5,5.56,2.63,1.4,0.73,0.75,0.2
44-01,44,60406,32.8,7.49,23.89,20.74,9.48,3.01,0.56,0.89,0.31,0.67,0.16
44-02,44,69424,30.78,6.3,21.38,25.42,11.13,2.32,0.51,0.87,0.34,0.83,0.12
44-03,44,72867,29.61,11.76,14.87,26.52,10.34,3.68,0.58,1.14,0.51,0.84,0.16
44-04,44,71982,30.64,11.26,14.59,26.22,10.03,3.91,0.61,1.21,0.59,0.76,0.16
44-05,44,97228,32.18,11.97,19.18,20.7,7.99,4.71,0.73,1.11,0.5,0.76,0.17
44-06,44,89420,24.47,19.56,19.86,19.79,6.5,5.54,0.93,1.57,0.83,0.76,0.19
44-07,44,89104,26.31,16.01,25.96,17.9,5.48,4.68,0.81,1.28,0.57,0.81,0.17
44-08,44,67073,27.38,16.4,13.08,26.5,8.5,4.28,0.78,1.31,0.86,0.75,0.16
44-09,44,97107,24.62,18.41,21.05,20.13,6.17,5.83,0.95,1.25,0.71,0.7,0.18
44-10,44,96846,29.84,13.79,21.0,19.51,6.99,5.55,0.79,1.1,0.58,0.69,0.17
45-01,45,60090,28.94,15.77,23.46,16.6,6.86,5.2,0.77,0.86,0.55,0.81,0.18
45-02,45,66175,24.94,20.86,21.08,17.34,6.54,5.57,0.86,1.09,0.67,0.86,0.19
45-03,45,56472,21.1,26.9,21.36,14.73,4.95,6.9,1.09,1.1,0.7,0.96,0.21
45-04,45,57311,18.96,29.96,20.91,15.69,4.32,6.31,0.98,0.99,0.73,0.94,0.21
45-05,45,58192,20.39,28.25,19.63,16.3,4.92,6.46,0.95,1.2,0.79,0.88,0.22
45-06,45,57332,26.11,20.19,21.17,17.26,6.72,5.31,0.77,0.91,0.58,0.8,0.17
46-01,46,57358,25.72,17.21,16.59,23.57,7.26,4.2,2.52,1.35,0.57,0.78,0.22
46-02,46,53427,27.66,14.96,16.74,23.39,7.08,4.01,3.05,1.41,0.74,0.8,0.18
47-01,47,69322,21.98,24.06,18.55,19.03,5.84,4.67,3.25,1.09,0.5,0.88,0.15
47-02,47,60376,19.77,26.53,18.17,18.77,5.49,5.06,3.37,1.24,0.59,0.82,0.2
47-03,47,59124,20.43,24.65,18.6,19.44,5.54,5.26,3.03,1.34,0.58,0.94,0.18
48-01,48,48147,21.73,18.89,22.82,19.7,5.68,4.56,3.66,1.42,0.61,0.74,0.19
49-01,49,66823,28.07,13.17,24.73,18.51,7.75,4.47,0.67,1.06,0.65,0.78,0.15
49-02,49,72299,28.53,13.86,21.9,19.56,7.66,4.82,0.74,1.2,0.83,0.74,0.17
49-03,49,56419,20.29,24.65,23.61,16.26,5.22,5.99,0.82,1.36,0.98,0.62,0.2
49-04,49,60004,22.96,21.99,24.88,14.85,5.45,6.0,0.84,1.33,0.83,0.68,0.19
49-05,49,62088,30.26,14.45,24.34,15.6,5.65,5.86,0.72,1.25,0.87,0.85,0.16
49-06,49,77821,26.97,16.45,23.46,16.52,6.26,6.25,0.84,1.31,0.96,0.79,0.18
49-07,49,63502,27.24,16.12,23.47,17.56,6.68,5.31,0.68,1.2,0.78,0.77,0.18
50-01,50,69374,25.04,21.8,21.88,15.79,5.99,5.75,0.72,1.33,0.89,0.62,0.18
50-02,50,76310,24.21,18.94,25.73,14.98,5.48,6.47,0.92,1.41,0.97,0.71,0.19
50-03,50,86459,24.08,21.91,21.94,16.55,5.87,5.63,0.89,1.38,0.84,0.69,0.23
50-04,50,68835,26.34,19.19,16.28,20.99,8.52,4.8,0.81,1.38,0.75,0.7,0.22
51-01,51,54730,23.7,23.83,20.85,17.4,5.74,5.14,0.64,0.91,0.75,0.88,0.19
51-02,51,55808,23.9,22.69,23.5,16.02,5.48,5.09,0.76,0.89,0.67,0.85,0.16
