as_of_date,open_interest,nc_long,nc_short
2011-07-12,   87588,   23298,    5670
2011-07-19,   91279,   23417,    7279
2011-07-26,   90825,   22269,    5621
2011-08-02,   88746,   19057,    5868
2011-08-09,   81283,   13297,    4745
2011-08-16,   91215,    5855,    8310
2011-08-23,   96918,    6847,    6970
2011-08-30,  101620,    5176,    7946
2011-09-06,  106003,    7544,    6750
2011-09-13,  127549,    7409,    7605
2011-09-20,   61986,   10434,    5388
2011-09-27,   76827,   10649,    5791
2011-10-04,   79939,    8892,    7949
2011-10-11,   75078,    8790,    5324
2011-10-18,   84996,   13366,    4189
2011-10-25,   90514,   16560,    4697
2011-11-01,   98356,   16355,    3599
2011-11-08,  100620,   15002,    3971
2011-11-15,  102002,   14905,    3454
2011-11-22,   94718,   10511,    7344
2011-11-29,   88202,    7592,    5659
2011-12-06,   94208,    9450,    4711
2011-12-13,  114413,   12959,    3932
2011-12-20,   51165,    8987,    4465
2011-12-27,   51197,    7820,    4862
2012-01-03,   52931,    9563,    4159
2012-01-10,   69158,   13404,    3692
2012-01-17,   77129,   15374,    3863
2012-01-24,   91118,   22708,    3893
2012-01-31,   91933,   25453,    3938
2012-02-07,   92812,   27843,    4485
2012-02-14,  106024,   30836,    5683
2012-02-21,  110676,   28308,    6180
2012-02-28,  114795,   30705,    5582
2012-03-06,  115730,   31506,    6949
2012-03-13,  140207,   33952,    6324
2012-03-20,   88340,   26675,    8599
2012-03-27,   87135,   25074,    8638
2012-04-03,   89424,   26629,    8003
2012-04-10,  102199,   29710,    9843
2012-04-17,  101027,   30161,    6876
2012-04-24,   98447,   28231,    6792
2012-05-01,   98438,   25592,    6753
2012-05-08,  104211,   18457,   10405
2012-05-15,  102304,   22490,    8543
2012-05-22,  101472,   17610,    9143
2012-05-29,   98712,   14998,    9638
2012-06-05,   99322,   15452,   11714
2012-06-12,  115527,   13849,   10824
2012-06-19,   65970,   15579,    4865
2012-06-26,   67857,   17118,    5394
2012-07-03,   70759,   17593,    4842
2012-07-10,   69789,   14778,    5345
2012-07-17,   67892,   12765,    4318
2012-07-24,   81009,   15322,    4226
2012-07-31,   73700,   20053,    4383
2012-08-07,   78551,   24996,    4628
2012-08-14,   81993,   26731,    5424
2012-08-21,  101917,   30427,    6064
2012-08-28,  110549,   32843,    5145
2012-09-04,  113775,   33890,    5683
2012-09-11,  115726,   32274,    4393
2012-09-18,  146791,   29756,    4152
2012-09-25,   82047,   28512,    3827
2012-10-02,   82519,   26472,    5517
2012-10-09,   79758,   24405,    7864
2012-10-16,   77919,   21114,    6713
2012-10-23,   74182,   17347,    7469
2012-10-30,   74253,   16782,    7171
2012-11-06,   72194,   14733,    6925
2012-11-13,   72434,   12978,    8398
2012-11-20,  108038,    8747,   10629
2012-11-27,   79925,   10773,   11258
2012-12-04,  103926,   12665,    8762
2012-12-11,  103354,   16910,    8270
2012-12-18,  120814,   15849,    7283
2012-12-24,   58825,   14343,    6688
2012-12-31,   56261,   13050,    8180
2013-01-08,   60127,   16133,    6810
2013-01-15,   61892,   15044,    6821
2013-01-22,   63166,   16105,    6475
2013-01-29,   66046,   17596,    6216
2013-02-05,   67138,   18829,    5882
2013-02-12,   66913,   17203,    5734
2013-02-19,   69693,   19170,    5483
2013-02-26,   66351,   16348,    7004
2013-03-05,   70816,   22177,    6612
2013-03-12,   91323,   24094,    6611
2013-03-19,   68041,   23708,    4413
2013-03-26,   69667,   23215,    3973
