# Presidentielle 2012, 1er tour, PARTS (% exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur via data.gouv.fr, jeu 'Election presidentielle 2012 - Resultats'
#   (dataset contenant regions/departements/circonscriptions legislatives/cantons), feuille 'Circo leg T1'.
#   URL dataset: https://www.data.gouv.fr/datasets/election-presidentielle-2012-resultats-572124/
#   URL fichier xls: https://static.data.gouv.fr/ff/e9c9483d39e00030815089aca1e2939f9cb99a84b0136e43056790e47bb4f0.xls
# DONNEES REELLES (pas de fabrication). 577 circonscriptions.
# NOTE : en 2012, Melenchon (LFI ici) etait candidat du Front de Gauche (incluant le PCF) ; nuance
#   utilisee = LFI pour continuite de lignee avec 2017/2022, mais le perimetre du candidat differe
#   (FG 2012 != LFI seul en 2017/2022).
# Agregat national reconstitue (pondere par exprimes) vs officiel (1er tour 2012) :
#   PS 28.63 (off. 28.63) | LR 27.18 (off. 27.18) | RN 17.90 (off. 17.90) |
#   LFI 11.10 (off. 11.10) | MDM 9.13 (off. 9.13) | EELV 2.31 (off. 2.31) |
#   DLF 1.79 (off. 1.79) | NPA 1.15 (off. 1.15) | LO 0.56 (off. 0.56) |
#   SP 0.25 (off. 0.25)
# circo_id normalise au format AA-CC (departement zfill2 si numerique, sinon 2A/2B/ZA.. tel quel ;
#   circonscription zfill2) pour jointure avec fr_pres2017_circo.csv / fr_pres2022_circo.csv.
# Lire avec pandas.read_csv(comment='#').
circo_id,departement,exprimes,PS,LR,RN,LFI,MDM,EELV,DLF,NPA,LO,SP
2B-01,2B,40912,23.64,30.57,24.43,11.24,4.88,2.28,1.13,1.23,0.38,0.23
2B-02,2B,45605,28.11,31.5,22.22,8.87,4.35,2.39,1.02,1.09,0.28,0.18
30-01,30,65934,25.42,26.13,25.51,11.65,6.76,1.79,1.37,0.81,0.37,0.19
30-02,30,68267,22.11,26.64,28.87,11.11,6.37,1.79,1.51,0.88,0.49,0.23
30-03,30,73125,23.0,27.17,25.87,11.11,7.64,1.88,1.61,1.0,0.48,0.25
30-04,30,72119,24.13,22.42,25.82,15.18,7.05,1.89,1.56,1.13,0.58,0.24
30-05,30,76657,26.03,20.61,22.77,17.78,6.52,2.99,1.34,1.21,0.51,0.24
30-06,30,61924,23.82,26.93,24.43,12.53,7.14,2.3,1.33,0.99,0.33,0.2
31-01,31,60622,34.29,22.41,11.62,14.93,9.64,4.05,1.35,1.11,0.37,0.24
31-02,31,76327,33.03,23.63,13.89,13.82,9.23,3.2,1.56,1.04,0.39,0.22
31-03,31,59921,29.74,30.5,10.68,11.83,10.78,3.67,1.37,0.88,0.3,0.24
31-04,31,50244,35.37,22.2,10.01,16.52,8.75,4.44,1.12,1.02,0.33,0.24
31-05,31,76227,29.81,23.32,19.8,12.56,8.92,2.04,1.68,1.17,0.45,0.26
31-06,31,86621,33.98,21.45,15.8,12.3,10.24,2.79,1.67,1.04,0.45,0.27
31-07,31,77576,30.74,21.85,19.78,12.93,8.65,2.41,1.71,1.22,0.45,0.26
31-08,31,69289,32.9,20.51,19.75,12.96,8.14,2.14,1.6,1.28,0.5,0.21
31-09,31,60290,36.32,20.2,14.13,14.76,8.24,3.29,1.34,1.06,0.44,0.23
31-10,31,76476,33.22,23.1,14.08,12.65,10.36,3.16,1.61,1.19,0.37,0.26
32-01,32,61665,33.63,22.71,14.72,12.69,10.16,2.29,1.72,1.25,0.55,0.25
32-02,32,59001,30.01,25.64,17.14,11.41,9.72,2.2,1.91,1.21,0.52,0.24
33-01,33,68472,30.73,32.33,9.87,9.98,11.04,2.87,1.36,1.33,0.28,0.2
33-02,33,48570,33.64,27.49,7.19,12.86,11.24,4.78,1.04,1.25,0.3,0.22
33-03,33,58888,37.68,18.82,10.51,16.02,9.76,3.64,1.27,1.65,0.4,0.23
33-04,33,68112,37.46,18.84,17.19,12.99,7.94,1.65,1.5,1.75,0.47,0.21
33-05,33,84166,29.94,23.93,19.78,10.96,9.11,1.87,1.65,2.11,0.48,0.18
33-06,33,78530,34.3,24.52,12.56,11.2,11.0,2.56,1.64,1.6,0.36,0.25
33-07,33,59654,36.65,22.47,10.77,12.08,11.34,2.95,1.54,1.58,0.39,0.23
33-08,33,79597,24.93,33.73,15.93,9.47,9.78,2.12,1.9,1.52,0.38,0.23
