# Presidentielle 2012, 1er tour, PARTS (% exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur via data.gouv.fr, jeu 'Election presidentielle 2012 - Resultats'
#   (dataset contenant regions/departements/circonscriptions legislatives/cantons), feuille 'Circo leg T1'.
#   URL dataset: https://www.data.gouv.fr/datasets/election-presidentielle-2012-resultats-572124/
#   URL fichier xls: https://static.data.gouv.fr/ff/e9c9483d39e00030815089aca1e2939f9cb99a84b0136e43056790e47bb4f0.xls
# DONNEES REELLES (pas de fabrication). 577 circonscriptions.
# NOTE : en 2012, Melenchon (LFI ici) etait candidat du Front de Gauche (incluant le PCF) ; nuance
#   utilisee = LFI pour continuite de lignee avec 2017/2022, mais le perimetre du candidat differe
#   (FG 2012 != LFI seul en 2017/2022).
# Agregat national reconstitue (pondere par exprimes) vs officiel (1er tour 2012) :
#   PS 28.63 (off. 28.63) | LR 27.18 (off. 27.18) | RN 17.90 (off. 17.90) |
#   LFI 11.10 (off. 11.10) | MDM 9.13 (off. 9.13) | EELV 2.31 (off. 2.31) |
#   DLF 1.79 (off. 1.79) | NPA 1.15 (off. 1.15) | LO 0.56 (off. 0.56) |
#   SP 0.25 (off. 0.25)
# circo_id normalise au format AA-CC (departement zfill2 si numerique, sinon 2A/2B/ZA.. tel quel ;
#   circonscription zfill2) pour jointure avec fr_pres2017_circo.csv / fr_pres2022_circo.csv.
# Lire avec pandas.read_csv(comment='#').
circo_id,departement,exprimes,PS,LR,RN,LFI,MDM,EELV,DLF,NPA,LO,SP
91-08,91,58355,29.01,21.61,13.19,11.32,7.37,2.09,14.19,0.75,0.32,0.15
91-09,91,58888,30.1,26.63,15.57,11.83,8.81,2.27,3.32,0.86,0.35,0.26
91-10,91,45495,33.45,21.98,15.56,15.62,7.81,2.04,2.0,0.89,0.42,0.22
92-01,92,43618,40.73,17.09,11.31,20.06,5.84,1.99,1.14,1.03,0.53,0.28
92-02,92,49826,32.14,33.13,8.24,9.59,11.12,3.09,1.44,0.67,0.31,0.26
92-03,92,59012,27.33,39.55,8.38,7.78,11.89,2.72,1.29,0.54,0.22,0.29
92-04,92,54141,36.04,24.6,9.92,14.9,9.12,2.56,1.27,0.87,0.44,0.28
92-05,92,53829,30.75,36.29,8.24,9.94,9.55,2.71,1.28,0.7,0.31,0.21
92-06,92,58992,19.24,54.55,7.44,5.51,9.24,2.01,1.13,0.49,0.18,0.22
92-07,92,66276,24.27,43.15,8.48,6.66,12.47,2.45,1.47,0.57,0.21,0.27
92-08,92,53018,27.71,38.73,7.65,8.03,12.2,3.21,1.37,0.59,0.25,0.25
92-09,92,48406,22.48,50.35,6.35,5.58,10.88,2.41,1.23,0.4,0.14,0.18
92-10,92,55710,33.07,31.35,7.7,10.12,12.06,3.14,1.32,0.65,0.28,0.3
92-11,92,52158,37.05,20.9,9.31,17.63,8.87,3.24,1.28,0.97,0.46,0.29
92-12,92,70720,32.2,29.6,9.91,11.17,11.17,2.86,1.65,0.85,0.33,0.26
92-13,92,67946,31.98,31.55,7.89,10.33,12.53,3.07,1.42,0.64,0.28,0.31
93-01,93,39045,43.97,15.82,10.4,18.27,6.17,2.45,1.09,0.96,0.58,0.27
93-02,93,35256,46.11,12.67,10.54,21.05,4.4,2.12,1.14,1.12,0.6,0.26
93-03,93,53557,35.75,24.26,13.35,12.65,8.3,2.44,1.68,0.94,0.38,0.27
93-04,93,41840,41.74,15.63,14.67,19.6,4.36,1.22,1.18,0.88,0.54,0.18
93-05,93,43272,39.51,17.93,15.8,16.87,5.4,1.37,1.26,1.02,0.59,0.24
93-06,93,35468,42.72,16.07,11.22,19.65,4.8,2.55,1.04,0.92,0.81,0.23
93-07,93,51373,39.46,14.0,9.73,24.28,5.61,4.13,1.05,1.08,0.47,0.2
93-08,93,45092,31.3,27.44,15.85,12.26,8.1,1.98,1.62,0.82,0.41,0.22
93-09,93,49012,39.77,19.32,12.01,17.3,5.81,2.85,1.25,0.88,0.58,0.24
93-10,93,48304,37.86,22.17,14.41,14.38,6.47,1.84,1.36,0.84,0.43,0.23
93-11,93,44253,38.49,18.01,15.67,17.45,5.82,1.61,1.26,0.88,0.53,0.28
93-12,93,47443,31.72,26.69,17.97,12.14,6.98,1.59,1.56,0.79,0.33,0.22
94-01,94,64636,28.0,33.91,11.12,10.89,10.29,2.8,1.71,0.68,0.32,0.29
94-02,94,49109,39.59,20.34,11.92,16.67,6.35,2.09,1.41,0.91,0.41,0.3
94-03,94,53428,32.55,23.59,16.4,14.13,7.34,1.7,2.78,0.88,0.4,0.24
94-04,94,55581,29.09,30.27,14.05,10.9,10.24,2.16,1.92,0.77,0.35,0.25
94-05,94,64506,29.53,31.59,11.16,12.61,9.73,2.61,1.51,0.74,0.27,0.24
94-06,94,60851,31.13,31.99,8.1,11.61,10.99,3.58,1.33,0.68,0.33,0.27
94-07,94,48717,35.0,24.81,12.35,13.24,9.08,2.28,1.66,0.9,0.41,0.26
94-08,94,57350,30.14,32.14,11.5,10.11,10.03,2.9,1.78,0.77,0.36,0.26
94-09,94,39396,37.79,19.81,12.52,17.67,6.58,2.4,1.46,1.04,0.49,0.23
94-10,94,47238,37.79,17.02,10.53,21.73,6.81,2.98,1.32,1.09,0.51,0.22
94-11,94,44550,37.3,18.0,11.52,18.96,8.0,3.27,1.29,1.03,0.4,0.24
95-01,95,62144,27.48,27.97,18.48,10.97,8.78,2.33,2.03,1.15,0.52,0.27
95-02,95,57286,29.71,27.24,16.63,11.33,9.18,2.38,1.85,1.04,0.4,0.25
95-03,95,66685,29.04,27.64,16.09,11.68,9.81,2.26,1.93,0.87,0.41,0.26
95-04,95,55475,30.09,28.59,14.47,10.73,10.13,2.29,2.02,0.94,0.46,0.28
95-05,95,49154,38.12,18.65,15.02,16.87,6.38,1.74,1.39,1.02,0.58,0.24
95-06,95,56035,30.42,30.88,13.36,10.97,9.21,2.16,1.6,0.82,0.33,0.25
95-07,95,51464,30.4,32.32,14.06,10.75,7.76,1.87,1.41,0.83,0.38,0.23
95-08,95,36903,44.34,20.85,13.13,13.16,4.73,1.26,1.14,0.87,0.36,0.17
95-09,95,50278,33.4,23.2,20.28,11.83,6.62,1.42,1.61,0.94,0.49,0.21
95-10,95,47291,37.9,21.42,13.06,12.36,9.4,2.37,1.65,1.11,0.44,0.29
ZA-01,ZA,34542,60.74,21.26,4.7,4.81,4.15,1.33,0.82,0.72,1.11,0.34
ZA-02,ZA,39194,55.39,24.36,5.64,5.4,4.89,1.48,0.94,0.79,0.85,0.27
ZA-03,ZA,37534,57.07,21.33,5.25,6.45,5.41,1.53,0.93,0.87,0.87,0.3
ZA-04,ZA,33889,54.96,26.77,4.96,4.74,4.37,1.54,0.7,0.79,0.86,0.31
ZB-01,ZB,38877,51.84,26.74,4.97,5.62,5.73,1.45,1.05,1.15,1.06,0.39
ZB-02,ZB,40837,50.56,28.58,4.66,5.25,5.98,1.52,1.07,1.1,0.92,0.36
ZB-03,ZB,30447,52.43,24.96,4.77,6.32,6.05,1.62,1.12,1.19,1.12,0.42
ZB-04,ZB,36109,53.36,24.31,4.64,6.51,6.0,1.66,1.04,1.26,0.87,0.36
ZC-01,ZC,23320,42.76,26.55,10.72,7.63,6.55,2.32,1.14,1.34,0.57,0.42
ZC-02,ZC,14092,42.38,28.26,10.08,8.32,5.68,2.14,1.06,1.18,0.54,0.35
ZD-01,ZD,46872,47.16,22.32,10.28,6.49,8.79,2.27,0.99,0.81,0.55,0.33
ZD-02,ZD,52264,54.82,16.07,8.72,8.2,6.82,2.33,1.1,0.96,0.66,0.31
ZD-03,ZD,53341,51.03,17.99,12.65,6.49,6.75,2.08,1.25,0.91,0.58,0.27
ZD-04,ZD,62984,55.14,18.92,9.8,6.41,4.89,2.13,0.88,0.89,0.59,0.35
ZD-05,ZD,45144,58.79,15.61,10.96,5.86,4.72,1.39,0.84,0.78,0.8,0.25
ZD-06,ZD,41082,55.04,17.18,11.33,6.16,5.81,1.92,0.88,0.83,0.58,0.26
ZD-07,ZD,62398,51.53,17.47,9.06,7.21,9.57,2.54,1.01,0.87,0.49,0.26
ZM-01,ZM,15757,41.62,40.96,3.77,2.82,5.39,2.23,1.16,0.88,0.62,0.55
ZM-02,ZM,20226,32.6,54.79,1.99,2.47,3.24,2.16,1.05,0.79,0.46,0.44
ZN-01,ZN,41349,19.74,53.1,11.94,3.57,6.01,2.93,1.07,0.87,0.46,0.3
ZN-02,ZN,47910,29.37,46.64,11.42,3.03,4.37,2.35,0.81,1.07,0.61,0.32
ZP-01,ZP,32971,30.26,46.58,5.77,2.71,7.37,3.8,1.92,0.6,0.56,0.42
ZP-02,ZP,27511,31.16,45.71,5.67,2.7,4.25,3.74,5.1,0.6,0.64,0.43
ZP-03,ZP,29337,36.06,43.21,5.75,2.92,5.25,3.78,1.52,0.58,0.51,0.41
ZS-01,ZS,2631,33.75,18.55,15.81,15.17,7.37,1.63,2.43,3.91,0.87,0.49
ZW-01,ZW,6407,48.28,37.68,2.37,1.19,6.4,1.56,0.67,0.66,0.75,0.45
ZX-01,ZX,8033,26.78,43.62,12.14,5.89,5.89,2.59,1.15,1.06,0.55,0.35
ZZ-01,ZZ,52394,28.3,37.7,5.72,7.12,12.55,6.17,1.32,0.61,0.18,0.33
ZZ-02,ZZ,20901,29.03,40.03,5.65,10.07,7.61,5.06,1.05,0.73,0.35,0.42
ZZ-03,ZZ,28141,32.28,33.56,3.29,7.52,13.87,6.92,1.3,0.72,0.22,0.31
ZZ-04,ZZ,47770,25.42,34.94,6.85,9.79,13.9,6.1,1.42,0.77,0.35,0.46
ZZ-05,ZZ,27241,25.95,39.1,7.44,10.94,8.33,5.37,1.19,0.93,0.34,0.41
ZZ-06,ZZ,49536,19.58,41.05,8.04,8.45,14.47,4.93,1.78,0.99,0.31,0.4
ZZ-07,ZZ,34344,31.0,30.17,4.21,7.55,14.3,10.11,1.25,0.72,0.28,0.4
ZZ-08,ZZ,25005,24.18,49.01,5.28,7.7,6.89,4.04,1.26,0.81,0.45,0.37
ZZ-09,ZZ,38789,42.39,31.73,3.6,11.29,6.74,2.6,0.69,0.54,0.2,0.22
ZZ-10,ZZ,42511,30.34,42.06,7.65,5.84,8.89,3.11,1.04,0.48,0.24,0.35
ZZ-11,ZZ,36662,25.3,41.6,5.98,6.35,12.81,5.67,1.18,0.52,0.29,0.31
