# Presidentielle 2022, 2nd tour, PARTS (% exprimes) par CIRCONSCRIPTION legislative.
# Source : ministere de l'Interieur via data.gouv.fr, ressource resultats-par-niveau-cirlg-t2-france-entiere.txt
#   (jeu 'Election presidentielle 2022 - resultats definitifs du 2nd tour'). DONNEES REELLES.
# ENS=Macron, RN=Le Pen. Agregat national reconstitue = officiel (58.55 / 41.45). Lire avec comment='#'.
circo_id,departement,exprimes,ENS_t2,RN_t2
91-08,91,47508,65.94,34.06
91-09,91,50007,64.63,35.37
91-10,91,36648,64.44,35.56
92-01,92,36406,77.68,22.32
92-02,92,48569,82.65,17.35
92-03,92,57842,80.55,19.45
92-04,92,50253,79.04,20.96
92-05,92,51133,81.44,18.56
92-06,92,55509,79.94,20.06
92-07,92,62833,79.87,20.13
92-08,92,49398,80.94,19.06
92-09,92,46377,83.28,16.72
92-10,92,55610,81.83,18.17
92-11,92,46251,80.36,19.64
92-12,92,64383,77.05,22.95
92-13,92,62245,80.82,19.18
93-01,93,36840,79.7,20.3
93-02,93,27418,77.08,22.92
93-03,93,46949,71.18,28.82
93-04,93,32370,70.58,29.42
93-05,93,33863,68.74,31.26
93-06,93,31301,80.65,19.35
93-07,93,47104,82.66,17.34
93-08,93,36592,69.04,30.96
93-09,93,42682,78.19,21.81
93-10,93,37348,70.8,29.2
93-11,93,32781,69.47,30.53
93-12,93,37034,64.77,35.23
94-01,94,56814,75.62,24.38
94-02,94,37906,73.4,26.6
94-03,94,44838,64.45,35.55
94-04,94,48331,68.28,31.72
94-05,94,57453,75.36,24.64
94-06,94,55957,82.3,17.7
94-07,94,40530,73.39,26.61
94-08,94,52523,75.86,24.14
94-09,94,31832,72.95,27.05
94-10,94,39608,77.48,22.52
94-11,94,39285,78.08,21.92
95-01,95,54476,58.63,41.37
95-02,95,50294,63.12,36.88
95-03,95,60949,66.06,33.94
95-04,95,48176,69.9,30.1
95-05,95,39052,72.75,27.25
95-06,95,46980,72.25,27.75
95-07,95,42168,66.02,33.98
95-08,95,28782,67.01,32.99
95-09,95,41230,57.7,42.3
95-10,95,41168,70.3,29.7
ZA-01,ZA,29954,27.75,72.25
ZA-02,ZA,37362,30.8,69.2
ZA-03,ZA,36730,31.79,68.21
ZA-04,ZA,28289,30.87,69.13
ZB-01,ZB,32316,36.82,63.18
ZB-02,ZB,32985,40.18,59.82
ZB-03,ZB,22591,42.2,57.8
ZB-04,ZB,32026,38.2,61.8
ZC-01,ZC,22350,37.97,62.03
ZC-02,ZC,12921,41.39,58.61
ZD-01,ZD,46271,50.77,49.23
ZD-02,ZD,50673,44.92,55.08
ZD-03,ZD,54872,32.06,67.94
ZD-04,ZD,61390,38.79,61.21
ZD-05,ZD,46585,34.81,65.19
ZD-06,ZD,43433,38.94,61.06
ZD-07,ZD,61040,43.42,56.58
ZM-01,ZM,17008,45.33,54.67
ZM-02,ZM,21394,37.38,62.62
ZN-01,ZN,33794,63.84,36.16
ZN-02,ZN,37961,58.53,41.47
ZP-01,ZP,32449,56.3,43.7
ZP-02,ZP,25062,49.27,50.73
ZP-03,ZP,25292,48.53,51.47
ZS-01,ZS,2521,49.31,50.69
ZW-01,ZW,5680,67.45,32.55
ZX-01,ZX,8637,44.58,55.42
ZZ-01,ZZ,84119,88.55,11.45
ZZ-02,ZZ,18986,85.13,14.87
ZZ-03,ZZ,58220,92.51,7.49
ZZ-04,ZZ,71422,86.76,13.24
ZZ-05,ZZ,36933,79.61,20.39
ZZ-06,ZZ,65411,82.6,17.4
ZZ-07,ZZ,58156,91.42,8.58
ZZ-08,ZZ,23860,85.98,14.02
ZZ-09,ZZ,37566,86.72,13.28
ZZ-10,ZZ,39648,79.61,20.39
ZZ-11,ZZ,38383,81.12,18.88
