as_of_date,open_interest,nc_long,nc_short
1998-07-14,171176,6518,44177
1998-07-21,170503,6425,40077
1998-07-28,164221,7801,47568
1998-08-04,179832,8618,67413
1998-08-11,185167,9059,68769
1998-08-18,195394,12089,71699
1998-08-25,199774,10539,72049
1998-09-01,207005,6779,76568
1998-09-08,197099,7890,59215
1998-09-15,173813,10405,30520
1998-09-22,174705,13273,32286
1998-09-29,175102,18982,24893
1998-10-06,190174,36588,12919
1998-10-13,187179,32954,12822
1998-10-20,184842,29034,13243
1998-10-27,184784,21174,13968
1998-11-03,180415,9917,27612
1998-11-10,172069,11354,18465
1998-11-17,153511,15147,11960
1998-11-24,150873,17284,10369
1998-12-01,143535,12857,16775
1998-12-08,145386,12306,17456
1998-12-15,148455,8951,23617
1998-12-22,158623,8703,35495
1998-12-29,162536,8174,42760
1999-01-05,173200,9127,53151
1999-01-12,172413,11435,53161
1999-01-19,184145,9596,64878
1999-01-26,181330,9861,70853
1999-02-02,181292,13654,73572
1999-02-09,181688,10261,71310
1999-02-16,185713,8862,77268
1999-02-23,190553,8938,79003
1999-03-02,191522,17147,75294
1999-03-09,182305,32899,35104
1999-03-16,165270,11160,39610
1999-03-23,174143,7997,62020
1999-03-30,187558,6836,87076
1999-04-06,196125,9350,97713
1999-04-13,196091,11955,93046
1999-04-20,196996,12075,85765
1999-04-27,204378,14087,94179
1999-05-04,193275,18454,68306
1999-05-11,187427,12626,75976
1999-05-18,196892,8173,88719
1999-05-25,199633,7689,93127
1999-06-01,198487,9625,88396
1999-06-08,203955,9281,94516
1999-06-15,212568,10132,95118
1999-06-22,213680,9930,96789
1999-06-29,208222,8971,92582
1999-07-06,218365,8728,95291
1999-07-13,211594,9914,88774
1999-07-20,206266,10323,89538
1999-07-27,198760,13624,81518
1999-08-03,188933,17758,74198
1999-08-10,193698,15272,70336
1999-08-17,191776,21260,56502
1999-08-24,191040,16211,75298
1999-08-31,198692,17219,78710
1999-09-07,201266,16931,79841
1999-09-14,201806,18500,72632
1999-09-21,205259,27235,65077
1999-09-28,225467,47881,62196
1999-10-05,215041,43094,64951
1999-10-12,216938,35722,52723
1999-10-19,223090,35601,52897
1999-10-26,217916,33470,47085
1999-11-02,208907,27786,43069
1999-11-09,203057,23669,42788
1999-11-16,182148,28090,25319
1999-11-23,171564,33610,24256
1999-11-30,163574,31811,25682
1999-12-07,156712,24409,27381
1999-12-14,155142,10261,30814
1999-12-21,156318,11393,39362
1999-12-28,156526,10876,39829
2000-01-04,155835,12360,41068
2000-01-11,157326,17699,41917
2000-01-18,148055,19895,26998
2000-01-25,142913,19469,25003
2000-02-01,134305,19414,28247
2000-02-08,153976,40614,31600
2000-02-15,157231,42107,21410
2000-02-22,168125,52079,21071
2000-02-29,166509,41099,22312
2000-03-07,161362,38403,19732
2000-03-14,161540,34577,17282
2000-03-21,164397,33068,18135
2000-03-28,150712,15152,29437
2000-04-04,155378,19129,42440
2000-04-11,153144,18432,40617
2000-04-18,153546,18580,38933
2000-04-25,156486,17428,44970
2000-05-02,168231,18529,51124
2000-05-09,162759,19708,45430
2000-05-16,160373,15748,45278
2000-05-23,163062,17625,53467
2000-05-30,159156,19861,60485
2000-06-06,140841,26029,30046
2000-06-13,141504,31474,16814
2000-06-20,143814,32680,13622
2000-06-27,143700,31821,15602
2000-07-05,150096,31351,15523
2000-07-11,146022,29093,16695
2000-07-18,136090,26606,17591
2000-07-25,122177,24352,20809
2000-08-01,111188,23120,28717
2000-08-08,122540,21171,46194
2000-08-15,132994,19597,52483
2000-08-22,130211,22255,48476
2000-08-29,132014,22128,50766
2000-09-05,125433,23403,42285
2000-09-12,133431,22031,49029
2000-09-19,137565,22874,53435
2000-09-26,133035,24033,49984
2000-10-03,124815,23444,43555
2000-10-10,134015,25477,51003
2000-10-17,129680,29308,46045
2000-10-24,135064,30738,49309
2000-10-31,137818,24308,56030
2000-11-07,138300,22498,56618
2000-11-14,140258,16145,61121
2000-11-21,132633,16495,62951
2000-11-28,124950,16405,52606
2000-12-05,113455,16902,43823
2000-12-12,110455,18834,36776
2000-12-19,114708,17208,39376
2000-12-26,114850,18940,33199
2001-01-02,114491,17745,41480
2001-01-09,126527,15778,54004
2001-01-16,139180,13743,70903
2001-01-23,140120,15626,73324
2001-01-30,141156,18847,72662
2001-02-06,135682,16396,69102
2001-02-13,143725,15639,74611
2001-02-20,148782,16291,83022
2001-02-27,143173,17753,68548
2001-03-06,133440,17806,59788
2001-03-13,126821,19050,43294
2001-03-20,123758,11598,49567
2001-03-27,122944,12006,45310
2001-04-03,118398,10226,61580
2001-04-10,130116,10961,69094
2001-04-17,122146,10091,55660
2001-04-24,114900,11752,46763
2001-05-01,110868,12738,40708
2001-05-08,109018,12867,38655
2001-05-15,106947,28829,27298
2001-05-22,133866,53505,14569
2001-05-29,133990,55117,11881
2001-06-05,109182,34718,9707
2001-06-12,114065,32243,13688
2001-06-19,118500,33983,14981
2001-06-26,125033,37204,15131
2001-07-03,117731,32764,16594
2001-07-10,118688,31178,20576
2001-07-17,116292,30150,19384
2001-07-24,111764,31387,18013
2001-07-31,100943,24089,26795
2001-08-07,98582,25067,26757
2001-08-14,119311,50435,17566
2001-08-21,131631,57049,17515
2001-08-28,120108,46567,18745
2001-09-04,121687,44767,18850
2001-09-10,119518,42337,21513
2001-09-18,120062,47155,18007
2001-09-25,129840,55700,19062
2001-10-02,132653,54976,19721
2001-10-09,134663,53926,21148
2001-10-16,126767,43774,19686
2001-10-23,117875,35467,20788
2001-10-30,118614,32041,19881
2001-11-06,115880,32582,19052
2001-11-13,111255,29312,23885
2001-11-20,115326,25380,34553
2001-11-27,111942,23633,35773
