# Presidentielle 2022, 1er tour, PARTS DE VOTE (% des exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur via data.gouv.fr, jeu 'Election presidentielle 10/24 avril 2022 -
#   resultats definitifs 1er tour', ressource 'resultats-par-niveau-cirlg-t1-france-entiere.txt'.
#   URL: https://www.data.gouv.fr/datasets/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour
# DONNEES REELLES (pas de fabrication). Agregat national reconstitue = resultats officiels au centieme.
# Partis EXPLICITES (pas de bloc) : LFI=Melenchon, PS=Hidalgo, EELV=Jadot, PCF=Roussel, RN=Le Pen,
#   ENS=Macron, LR=Pecresse, REC=Zemmour, RES=Lassalle, DLF=Dupont-Aignan, NPA=Poutou, LO=Arthaud.
# Lire avec pandas.read_csv(comment='#').
circo_id,departement,exprimes,ENS,RN,LFI,REC,LR,EELV,RES,PCF,DLF,PS,NPA,LO
78-01,78,65075,33.5,9.16,21.0,12.52,11.02,6.12,1.72,1.37,1.59,1.29,0.42,0.29
78-02,78,68761,35.85,10.91,17.76,10.31,10.71,7.02,1.97,1.56,1.82,1.34,0.44,0.32
78-03,78,65344,39.41,11.01,15.23,11.68,11.03,5.38,1.74,1.26,1.56,1.03,0.39,0.28
78-04,78,62636,39.64,10.39,18.99,8.34,9.05,6.74,1.71,1.41,1.61,1.32,0.5,0.31
78-05,78,57624,36.77,10.97,21.53,8.56,9.27,6.06,1.63,1.41,1.65,1.28,0.52,0.34
78-06,78,57171,37.38,11.18,21.49,9.15,8.78,5.5,1.61,1.34,1.6,1.2,0.48,0.29
78-07,78,59614,32.04,15.93,24.77,6.97,6.22,5.77,2.02,1.88,1.85,1.4,0.67,0.46
78-08,78,52394,21.32,20.57,37.9,5.56,4.15,3.06,1.72,1.78,1.77,1.0,0.65,0.53
78-09,78,69806,27.28,21.66,25.51,7.34,6.2,3.89,2.19,1.74,2.01,1.03,0.62,0.52
78-10,78,71697,32.9,16.19,19.09,9.28,8.03,5.81,2.3,1.85,2.25,1.32,0.62,0.36
78-11,78,51619,28.76,13.06,33.05,6.41,6.57,4.59,1.71,1.93,1.67,1.22,0.61,0.44
78-12,78,54765,34.19,14.21,23.71,7.29,7.6,5.46,1.79,1.6,1.86,1.3,0.59,0.41
79-01,79,69333,34.75,18.22,21.5,4.11,4.08,6.07,2.88,2.37,1.9,2.45,0.99,0.69
79-02,79,74597,30.42,24.85,19.57,4.34,4.11,4.58,3.73,2.27,2.17,1.96,1.11,0.88
79-03,79,63874,33.91,26.2,15.05,4.25,5.27,3.83,3.51,1.88,2.5,1.84,0.97,0.8
80-01,80,58563,27.61,30.24,22.13,5.2,2.99,2.64,2.17,2.72,1.59,1.25,0.68,0.77
80-02,80,55507,33.73,19.05,24.63,5.71,3.93,4.72,1.7,2.38,1.54,1.31,0.68,0.63
80-03,80,61876,26.43,36.78,13.19,5.73,4.55,1.86,3.11,3.31,2.11,1.24,0.71,0.99
80-04,80,63560,27.98,35.26,14.55,5.87,3.81,2.65,2.59,2.19,2.07,1.36,0.81,0.86
80-05,80,59412,23.7,41.35,13.98,5.72,3.72,1.76,2.66,2.28,2.04,1.1,0.79,0.89
81-01,81,64848,25.2,23.83,19.26,7.08,4.81,3.63,7.81,2.23,2.19,2.69,0.76,0.52
81-02,81,84551,22.06,24.22,23.9,6.44,3.69,3.87,6.78,2.72,2.15,2.72,0.9,0.54
81-03,81,80443,23.53,25.62,19.57,7.39,4.69,3.8,7.72,1.95,2.34,2.2,0.71,0.47
82-01,82,71254,22.57,25.99,20.71,8.51,4.51,3.65,6.04,2.34,2.3,2.22,0.68,0.48
82-02,82,74566,20.99,31.74,17.6,7.65,3.73,2.99,7.07,2.63,2.38,2.0,0.77,0.45
83-01,83,50291,25.38,23.73,18.72,14.43,5.18,3.87,2.54,1.81,2.29,1.1,0.56,0.39
83-02,83,65755,23.0,30.41,16.79,12.68,4.15,3.43,3.18,1.84,2.47,1.09,0.63,0.34
83-03,83,77007,26.27,27.7,14.44,13.24,5.41,4.06,2.91,1.79,2.28,1.03,0.55,0.33
83-04,83,81128,24.07,32.16,12.4,14.65,4.87,2.88,3.03,1.44,2.73,0.81,0.61,0.35
83-05,83,74295,24.49,33.0,12.38,13.55,5.68,3.1,2.32,1.33,2.46,0.85,0.53,0.31
83-06,83,94538,21.94,33.33,14.67,12.29,3.93,3.79,3.42,1.86,2.78,1.0,0.66,0.33
83-07,83,74800,24.79,28.72,15.64,13.68,4.91,3.36,2.63,2.17,2.34,0.85,0.52,0.38
83-08,83,80916,21.28,32.66,15.92,12.04,4.06,3.68,3.45,2.02,2.89,0.96,0.69,0.38
84-01,84,50884,20.44,22.5,33.06,8.11,3.18,4.16,2.38,2.1,1.64,1.4,0.61,0.43
84-02,84,64054,23.76,28.99,18.45,10.23,4.2,4.77,3.11,1.95,2.33,1.22,0.64,0.36
84-03,84,58729,20.38,34.05,17.84,10.47,3.81,3.5,3.35,2.11,2.37,1.09,0.65,0.38
84-04,84,67501,21.61,32.45,17.06,11.28,4.19,3.25,3.54,2.09,2.3,1.15,0.67,0.41
84-05,84,62697,23.45,27.89,19.8,9.63,4.06,4.32,3.65,2.05,2.59,1.36,0.76,0.44
85-01,85,89700,36.52,22.6,15.32,5.21,4.97,5.16,2.76,1.92,2.19,1.81,0.89,0.65
85-02,85,85453,33.53,23.32,15.71,6.24,5.22,4.87,3.21,2.13,2.31,1.93,0.9,0.63
85-03,85,101776,34.46,24.02,13.25,7.97,5.95,4.45,2.88,2.04,2.37,1.35,0.68,0.56
85-04,85,79617,41.92,19.2,13.2,4.72,5.39,5.13,3.16,1.52,2.28,1.8,0.99,0.69
85-05,85,63163,31.23,27.46,14.83,5.99,5.16,3.71,3.76,2.09,2.37,1.85,0.91,0.65
86-01,86,61122,30.68,20.05,23.84,4.59,3.97,5.23,2.89,2.79,2.04,2.25,1.03,0.65
86-02,86,61343,31.22,16.37,25.31,5.36,4.37,6.4,2.82,2.47,1.84,2.29,0.95,0.6
86-03,86,55498,27.7,27.62,17.52,5.39,4.68,3.35,4.37,3.08,2.41,1.78,1.14,0.96
86-04,86,53689,27.1,30.89,17.4,5.32,4.2,3.25,3.4,2.76,2.57,1.44,0.88,0.78
87-01,87,63881,26.61,21.73,23.37,5.45,4.31,3.91,4.43,4.08,1.6,2.94,0.88,0.69
87-02,87,76146,26.99,23.06,20.02,5.25,5.07,3.82,5.56,4.02,1.85,2.76,0.89,0.7
87-03,87,62091,28.02,22.41,20.88,5.35,4.72,3.97,4.68,3.8,1.81,2.7,0.88,0.79
88-01,88,55214,27.36,29.78,17.32,6.44,4.69,4.11,2.98,1.71,2.63,1.56,0.8,0.63
88-02,88,52676,22.97,35.69,15.42,6.94,4.08,3.31,3.42,1.99,2.97,1.47,0.97,0.78
88-03,88,47211,26.51,28.41,17.02,6.13,4.71,4.25,3.88,1.96,3.37,1.69,1.19,0.88
88-04,88,48593,24.1,34.96,14.28,6.34,4.91,3.18,3.96,1.92,3.18,1.4,0.97,0.82
89-01,89,56926,26.3,27.69,18.36,7.29,5.7,4.03,2.99,2.28,2.45,1.46,0.81,0.65
89-02,89,54645,24.18,32.12,17.12,6.9,5.23,2.93,3.37,2.48,2.71,1.31,0.89,0.75
89-03,89,64940,22.23,33.65,18.16,7.73,4.95,3.11,2.79,2.11,2.65,1.14,0.83,0.65
90-01,90,35018,24.06,28.87,19.07,8.18,5.11,3.88,2.85,2.16,2.59,1.53,0.91,0.79
90-02,90,34636,24.08,25.84,22.88,7.85,4.42,4.16,2.89,2.11,2.64,1.49,0.82,0.82
91-01,91,48814,21.55,16.04,43.28,4.75,3.65,3.12,1.54,1.86,1.74,1.15,0.77,0.54
91-02,91,69142,24.94,26.33,21.39,7.55,5.98,4.16,2.44,2.23,2.54,1.08,0.81,0.56
91-03,91,75113,27.72,21.4,23.23,6.86,5.72,5.15,2.32,2.58,2.43,1.28,0.77,0.54
91-04,91,75831,31.08,19.13,21.63,7.14,6.03,5.61,2.28,2.21,2.3,1.39,0.73,0.46
91-05,91,54034,36.62,9.01,25.02,6.25,7.48,7.41,1.73,2.1,1.6,1.8,0.61,0.36
91-06,91,62473,29.86,13.56,30.72,6.15,5.4,5.99,1.78,2.18,1.74,1.51,0.68,0.44
91-07,91,52706,25.22,17.3,32.41,6.7,5.55,4.19,1.82,2.17,2.12,1.36,0.68,0.48
91-08,91,55318,26.51,15.89,27.95,6.95,5.09,5.05,1.68,2.08,6.4,1.33,0.67,0.4
91-09,91,58254,26.96,17.83,29.42,6.94,5.31,4.48,1.77,2.16,2.71,1.25,0.73,0.45
91-10,91,43256,23.67,17.61,35.02,5.87,4.67,3.87,1.69,3.17,1.96,1.21,0.76,0.51
92-01,92,45696,20.49,9.81,53.45,3.71,2.94,2.97,1.03,2.5,1.11,0.94,0.56,0.48
92-02,92,54641,37.18,6.86,28.19,7.26,7.4,6.93,1.35,1.53,1.16,1.39,0.45,0.31
92-03,92,64006,40.59,8.41,20.69,8.46,9.24,6.48,1.42,1.36,1.33,1.35,0.4,0.27
92-04,92,59550,30.54,9.31,37.36,5.83,5.13,5.19,1.34,2.06,1.24,1.15,0.51,0.34
92-05,92,58085,36.58,7.65,26.87,9.94,7.63,5.55,1.36,1.35,1.06,1.2,0.48,0.33
92-06,92,60803,43.14,8.06,14.71,13.75,11.37,4.25,1.42,0.82,1.1,0.87,0.33,0.19
92-07,92,69031,42.87,8.56,16.89,9.36,10.39,6.11,1.57,1.29,1.26,1.14,0.34,0.22
92-08,92,54139,40.9,7.73,20.11,8.36,9.22,7.1,1.58,1.43,1.38,1.43,0.46,0.29
92-09,92,50701,46.6,6.4,13.83,11.2,11.13,5.86,1.35,0.96,1.12,1.07,0.3,0.16
92-10,92,61971,38.75,7.69,24.12,7.58,7.63,7.17,1.53,1.66,1.31,1.75,0.54,0.26
92-11,92,53702,28.9,8.61,36.49,5.47,4.52,6.86,1.42,3.51,1.28,1.77,0.72,0.45
92-12,92,72528,34.89,10.7,25.2,6.82,7.72,6.79,1.73,2.01,1.52,1.67,0.58,0.36
92-13,92,69889,37.16,8.33,24.88,6.9,8.54,6.91,1.58,1.83,1.34,1.72,0.55,0.26
93-01,93,45451,19.91,8.03,55.0,4.02,2.75,4.05,0.96,1.93,0.93,1.21,0.69,0.51
93-02,93,35327,15.62,9.31,61.6,3.24,1.77,2.15,0.97,2.16,0.9,1.0,0.7,0.56
93-03,93,55009,28.25,13.71,34.91,5.93,4.77,4.55,1.69,2.01,1.69,1.32,0.71,0.46
93-04,93,41549,15.66,12.66,57.94,4.26,2.5,1.31,0.95,2.07,0.94,0.69,0.53,0.48
93-05,93,41355,18.83,14.72,50.52,5.01,2.97,1.74,1.14,2.15,1.17,0.68,0.56,0.5
93-06,93,38777,17.53,7.89,56.84,4.33,2.27,4.42,0.94,2.19,0.83,1.26,0.67,0.82
93-07,93,57451,18.05,7.26,55.02,3.68,1.83,6.28,1.01,3.09,0.86,1.44,0.97,0.49
93-08,93,43416,25.49,15.2,35.11,7.25,5.26,4.27,1.65,2.02,1.51,1.18,0.65,0.4
93-09,93,51841,20.14,9.49,49.39,5.9,2.73,4.87,1.22,2.42,1.03,1.44,0.77,0.6
93-10,93,46702,19.9,13.33,48.13,5.68,4.09,2.56,1.53,1.61,1.28,0.85,0.53,0.49
93-11,93,41970,18.31,13.75,52.87,4.31,2.85,1.82,1.24,2.01,1.13,0.7,0.59,0.42
93-12,93,44303,22.7,17.97,37.31,7.74,4.45,2.99,1.58,1.78,1.52,0.96,0.61,0.4
94-01,94,64620,34.52,11.15,23.87,9.13,7.39,6.15,1.7,2.49,1.54,1.28,0.48,0.3
94-02,94,46465,22.3,11.74,45.41,6.15,3.54,3.21,1.34,2.52,1.36,1.24,0.67,0.53
94-03,94,52828,24.7,17.68,34.71,6.41,5.07,3.17,1.62,2.17,2.43,1.04,0.58,0.42
94-04,94,55367,30.68,16.11,26.26,7.62,6.51,4.84,1.81,2.06,2.01,1.1,0.57,0.42
94-05,94,65948,32.77,11.31,27.45,8.41,7.15,5.67,1.48,2.27,1.54,1.15,0.52,0.3
94-06,94,63268,35.08,7.21,26.65,9.22,6.35,8.02,1.32,2.1,1.32,1.8,0.58,0.34
94-07,94,47492,29.08,12.69,33.18,6.1,5.62,4.93,1.67,2.42,1.59,1.57,0.66,0.49
94-08,94,60149,32.49,11.14,25.08,9.94,6.94,6.44,1.72,1.95,1.65,1.51,0.68,0.47
94-09,94,38090,23.69,12.5,41.63,5.56,3.41,4.59,1.41,2.9,1.42,1.61,0.73,0.56
94-10,94,48069,22.58,9.85,45.75,4.67,2.8,4.91,1.21,4.12,1.25,1.55,0.86,0.46
94-11,94,46762,24.98,9.49,41.42,5.24,3.42,6.29,1.31,3.56,1.29,1.72,0.77,0.52
95-01,95,62056,26.12,22.36,24.94,7.53,5.64,4.59,2.15,2.09,2.13,1.22,0.73,0.5
95-02,95,57913,27.6,19.78,26.46,7.54,5.52,4.62,1.93,2.1,2.08,1.19,0.71,0.47
95-03,95,70009,28.4,18.05,27.83,6.82,6.08,4.65,1.93,2.12,1.89,1.19,0.66,0.4
95-04,95,55677,29.98,15.11,28.6,7.23,5.88,5.17,1.89,2.04,1.77,1.24,0.6,0.47
95-05,95,47550,21.46,13.15,48.88,4.44,3.15,2.62,1.26,1.95,1.11,0.99,0.54,0.46
95-06,95,54394,29.98,13.48,31.08,7.89,5.97,4.45,1.69,1.75,1.53,1.21,0.54,0.42
95-07,95,49336,26.54,16.4,29.68,11.04,5.13,3.88,1.67,1.83,1.66,1.15,0.64,0.39
95-08,95,35259,18.26,14.16,52.01,6.35,2.67,1.25,1.09,1.17,1.12,0.89,0.56,0.49
95-09,95,48857,21.59,22.09,36.38,6.71,3.87,2.29,1.6,1.84,1.64,0.88,0.67,0.45
95-10,95,48534,26.39,14.93,38.23,4.87,4.26,3.94,1.53,1.72,1.61,1.41,0.62,0.49
ZA-01,ZA,31423,12.01,16.87,61.05,1.51,2.47,0.88,0.56,0.45,1.28,1.44,0.56,0.91
ZA-02,ZA,37495,14.55,19.26,52.56,2.73,3.26,1.83,0.88,0.56,1.62,1.39,0.57,0.78
ZA-03,ZA,37979,13.48,17.14,56.35,2.74,2.97,1.56,0.83,0.44,1.69,1.57,0.52,0.72
ZA-04,ZA,28188,13.43,18.34,55.22,2.0,3.02,1.32,0.74,0.53,1.64,2.47,0.46,0.82
ZB-01,ZB,33252,15.31,14.47,53.09,3.11,3.77,1.39,0.91,0.59,2.37,2.92,0.78,1.3
ZB-02,ZB,32837,17.99,14.54,50.94,2.09,4.15,1.54,0.97,0.59,2.33,2.75,0.84,1.26
ZB-03,ZB,24131,16.17,11.33,54.82,2.57,3.55,1.72,0.87,0.63,2.67,3.71,0.84,1.14
ZB-04,ZB,32729,15.7,12.76,54.02,2.49,3.84,1.83,1.02,0.63,2.42,3.57,0.72,1.0
ZC-01,ZC,22872,14.48,18.34,49.13,4.41,3.17,2.67,1.45,0.63,2.01,1.66,1.29,0.77
ZC-02,ZC,12989,13.77,16.47,53.18,4.35,2.09,2.53,1.42,0.79,1.98,1.19,1.29,0.93
ZD-01,ZD,46037,21.71,21.1,37.5,4.95,3.4,3.09,1.42,0.76,2.24,2.27,0.72,0.84
ZD-02,ZD,48534,18.39,20.12,45.29,3.43,2.58,2.47,1.36,0.9,2.17,1.47,0.83,1.01
ZD-03,ZD,51617,15.58,30.08,37.67,3.8,2.73,1.81,1.42,0.76,2.86,1.5,0.76,1.03
ZD-04,ZD,60872,16.7,24.59,41.91,3.65,2.99,2.13,1.39,0.77,2.49,1.43,0.81,1.13
ZD-05,ZD,41442,18.55,30.59,37.36,2.98,2.25,1.23,1.15,0.66,2.08,1.25,0.65,1.25
ZD-06,ZD,40331,18.13,27.24,37.59,3.5,2.7,2.14,1.24,1.8,2.18,1.71,0.73,1.04
ZD-07,ZD,57933,17.98,20.94,42.73,3.96,2.89,3.06,1.68,0.73,2.63,1.63,0.9,0.87
ZM-01,ZM,15767,19.6,37.58,27.53,1.81,6.48,0.81,0.89,0.55,1.53,1.06,0.93,1.24
ZM-02,ZM,19283,14.75,46.84,21.04,1.02,9.27,0.87,1.14,0.62,1.49,0.78,0.94,1.22
ZN-01,ZN,33947,41.81,16.83,12.37,10.61,5.52,4.14,1.56,0.57,3.91,1.39,0.67,0.62
ZN-02,ZN,36553,39.3,20.69,15.08,7.75,6.21,2.06,1.37,0.56,3.75,1.35,0.91,0.97
ZP-01,ZP,24560,44.85,17.9,11.65,6.96,7.43,3.56,0.98,0.51,2.94,1.29,0.67,1.26
ZP-02,ZP,16823,39.26,21.76,13.99,5.49,7.41,3.15,0.95,0.61,3.54,1.58,0.85,1.41
ZP-03,ZP,18647,34.79,19.56,14.88,8.85,8.87,4.0,1.13,0.75,3.49,1.52,0.77,1.4
ZS-01,ZS,2701,19.77,16.99,40.91,2.96,1.89,4.29,4.0,0.7,3.04,2.78,1.85,0.81
ZW-01,ZW,5359,39.47,10.8,9.35,2.2,25.27,1.34,1.46,0.63,4.55,2.2,0.9,1.83
ZX-01,ZX,8368,24.74,17.27,28.13,13.23,4.23,2.95,2.49,0.57,4.05,1.1,0.75,0.49
ZZ-01,ZZ,75534,46.89,3.93,21.56,7.78,3.72,9.45,0.9,0.56,1.23,3.12,0.67,0.19
ZZ-02,ZZ,17907,45.92,5.6,22.72,9.05,4.06,6.28,0.97,0.67,1.38,2.4,0.65,0.3
ZZ-03,ZZ,49868,49.74,2.59,22.08,5.1,3.88,9.94,0.84,0.66,1.07,3.12,0.68,0.3
ZZ-04,ZZ,65144,42.79,5.3,24.08,6.53,4.1,10.21,1.26,0.82,1.47,2.43,0.73,0.27
ZZ-05,ZZ,33376,38.79,8.94,19.5,11.95,4.79,7.85,1.34,0.84,1.77,3.37,0.59,0.27
ZZ-06,ZZ,64858,45.73,7.11,18.02,8.41,4.78,8.42,1.69,0.54,2.11,2.05,0.83,0.3
ZZ-07,ZZ,52144,51.01,3.32,18.82,5.14,3.37,11.11,1.11,0.75,1.23,3.24,0.67,0.25
ZZ-08,ZZ,23351,43.18,5.25,13.88,20.92,4.64,5.59,0.96,0.84,1.28,2.56,0.57,0.33
ZZ-09,ZZ,39302,38.26,4.89,39.78,6.21,3.2,3.1,1.25,0.52,0.97,1.19,0.34,0.28
ZZ-10,ZZ,39779,45.05,8.31,21.13,11.09,4.95,4.08,1.33,0.54,1.33,1.54,0.41,0.23
ZZ-11,ZZ,37688,43.5,4.99,18.69,13.53,5.42,7.63,1.32,0.59,1.58,1.99,0.52,0.22
