# Presidentielle 2022, 1er tour, PARTS DE VOTE (% des exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur via data.gouv.fr, jeu 'Election presidentielle 10/24 avril 2022 -
#   resultats definitifs 1er tour', ressource 'resultats-par-niveau-cirlg-t1-france-entiere.txt'.
#   URL: https://www.data.gouv.fr/datasets/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour
# DONNEES REELLES (pas de fabrication). Agregat national reconstitue = resultats officiels au centieme.
# Partis EXPLICITES (pas de bloc) : LFI=Melenchon, PS=Hidalgo, EELV=Jadot, PCF=Roussel, RN=Le Pen,
#   ENS=Macron, LR=Pecresse, REC=Zemmour, RES=Lassalle, DLF=Dupont-Aignan, NPA=Poutou, LO=Arthaud.
# Lire avec pandas.read_csv(comment='#').
circo_id,departement,exprimes,ENS,RN,LFI,REC,LR,EELV,RES,PCF,DLF,PS,NPA,LO
14-02,14,50586,29.1,19.85,27.22,4.21,3.28,5.82,2.14,2.82,1.56,2.1,1.08,0.82
14-03,14,58593,27.5,30.87,16.81,5.71,4.63,3.68,2.91,2.12,2.34,1.53,1.07,0.84
14-04,14,78707,32.64,24.29,15.39,7.75,5.78,4.15,2.61,2.35,2.22,1.39,0.8,0.62
14-05,14,70602,32.8,23.95,16.45,5.96,5.31,5.27,2.74,2.18,2.03,1.72,0.91,0.68
14-06,14,72488,30.79,26.79,17.66,4.78,4.24,4.73,2.78,2.14,2.42,1.83,1.06,0.8
15-01,15,48188,29.66,23.07,15.4,5.64,7.12,3.61,6.88,3.21,1.65,2.38,0.79,0.59
15-02,15,39914,26.93,26.19,13.83,5.48,8.91,2.53,8.86,2.38,1.88,1.66,0.67,0.68
16-01,16,61609,28.6,21.23,24.14,5.56,3.9,5.01,3.23,2.66,1.8,2.29,0.95,0.63
16-02,16,62572,28.51,27.82,16.42,5.92,4.76,3.63,4.51,2.56,2.5,1.86,0.89,0.62
16-03,16,68485,25.79,29.13,17.75,5.09,4.32,3.21,5.36,3.12,2.43,2.09,0.91,0.79
17-01,17,82670,34.29,15.54,22.37,5.75,5.15,7.14,2.57,2.44,1.73,1.88,0.71,0.42
17-02,17,86176,28.88,24.17,19.71,5.37,4.28,5.58,3.62,2.58,2.41,1.79,0.99,0.61
17-03,17,62950,26.32,27.73,18.62,5.85,4.45,4.04,4.1,2.78,2.47,1.96,0.96,0.72
17-04,17,70948,26.6,31.26,14.62,6.45,5.12,3.21,4.39,2.57,2.61,1.65,0.84,0.69
17-05,17,91323,27.46,29.0,15.39,7.34,5.41,3.81,3.72,2.39,2.59,1.48,0.84,0.56
18-01,18,51019,28.83,24.95,17.61,7.25,6.0,3.54,3.33,2.9,2.32,1.68,0.86,0.74
18-02,18,48643,26.19,27.97,19.13,5.92,4.25,3.0,3.24,4.71,2.21,1.54,0.89,0.94
18-03,18,60871,26.36,30.29,15.78,6.97,4.96,2.9,3.64,3.25,2.48,1.61,0.97,0.77
19-01,19,71742,21.33,21.6,20.39,5.22,8.98,3.46,7.63,5.22,1.83,2.71,0.98,0.65
19-02,19,70858,25.15,22.8,18.49,6.02,8.24,3.61,6.64,3.6,1.84,2.34,0.67,0.59
2A-01,2A,31123,19.05,28.76,13.75,13.09,4.83,3.55,10.25,2.72,1.7,1.09,0.93,0.29
2A-02,2A,37738,18.56,29.65,13.38,13.58,6.01,3.08,9.38,2.66,1.82,0.76,0.84,0.29
2B-01,2B,38129,17.33,28.75,14.29,11.79,7.08,3.45,9.38,3.63,1.68,1.28,0.99,0.33
2B-02,2B,40382,17.74,27.33,12.18,12.78,7.07,2.98,12.44,3.23,1.82,1.16,0.95,0.32
21-01,21,54611,33.48,15.62,21.39,8.38,5.92,6.3,1.96,1.85,1.82,1.99,0.8,0.5
21-02,21,54422,28.03,23.26,21.31,7.38,4.9,5.21,2.71,1.87,2.11,1.86,0.77,0.58
21-03,21,55294,27.42,24.23,23.11,6.67,4.05,4.55,2.28,2.17,2.11,1.99,0.74,0.68
21-04,21,52840,24.6,30.17,16.02,7.94,5.16,3.54,4.03,2.32,2.93,1.61,0.94,0.74
21-05,21,65578,29.03,28.34,14.27,7.89,5.3,4.26,3.43,1.94,2.47,1.64,0.8,0.63
22-01,22,69562,32.79,18.94,22.07,4.29,4.23,6.41,2.35,3.3,1.58,2.45,0.9,0.7
22-02,22,81330,31.81,22.55,18.57,5.72,5.07,4.99,3.01,2.6,1.98,2.0,1.0,0.7
22-03,22,69321,32.02,25.23,17.03,4.05,5.57,3.78,3.78,2.72,1.97,2.19,0.92,0.75
22-04,22,62824,26.35,23.85,22.41,4.14,3.98,4.53,4.24,4.32,1.56,2.35,1.49,0.78
22-05,22,83356,31.46,19.03,21.46,5.14,4.57,6.43,3.1,3.14,1.62,2.35,1.06,0.64
23-01,23,66848,23.25,25.09,20.46,5.24,6.57,2.85,6.4,3.64,2.33,2.45,0.99,0.73
24-01,24,59229,24.51,25.32,20.85,6.54,4.3,3.62,4.98,4.14,2.1,2.26,0.87,0.51
24-02,24,64261,23.8,27.63,18.45,7.34,4.12,3.52,6.68,3.17,2.21,1.78,0.8,0.49
